intent,query,answer
17,중핵필수,"중핵필수 과목에는 English Listening Practice1, English Reading Practice1, 세종사회봉사1, 문제해결을위한글쓰기와발표, 서양철학:쟁점과토론, 대학생활과진로설계, 취업역량개발론으로 총 7개가 존재합니다."
17,중핵필수선택 및 전공기초교양,단과대학 또는 학과마다 차이가 존재합니다. 자세한 내용은 과목명을 입력하여 확인해주세요.
17,단일전공 이수시,학과 또는 전공에 따라 차이가 존재합니다. 자세한 내용은 '졸업이수학점'을 입력하여 확인해주세요.
17,복수전공 이수시(연계·융합 전공포함),복수전공 혹은 연계·융합 전공 이수시 총합 39학점(전필(15학점)+전선(24학점))을 이수해야 한다.
17,졸업이수학점,"건축학과(5년제)는 168점이며, 컴퓨터공학과·정보보호학과·소프트웨어학과·데이터사이언스학과·디자인이노베이션전공·만화애니메이션텍전공·항공시스템공학과은 140학점이고, 그 외의 학과는 130학점입니다."
17,English Listening Practice1,모든 학과는 1학년 1학기에 이수해야 합니다.
17,English Reading Practice1,모든 학과는 2학년 1학기에 이수해야 합니다.
17,세종사회봉사1,"해당 과목은 안내에 따른 학기 중에 이수해야 합니다.
[1학년 1학기] 생명과학, 전자정보, 소프트웨어융합, 공과 계열 학과
[1학년 2학기] 인문과학, 사회과학, 경영, 호텔관광, 자연과학, 예체능, 법학 계열 학과"
17,문제해결을 위한 글쓰기와 발표,"해당 과목은 안내에 따른 학기 중에 이수해야 합니다.
[1학년 1학기] 전자정보, 소프트웨어융합, 공과 계열 학과
[1학년 2학기] 인문과학, 사회과학, 경영, 호텔관광, 자연과학, 생명과학, 예체능, 법학 계열 학과"
17,서양철학:쟁점과토론,"해당 과목은 안내에 따른 학기 중에 이수해야 합니다.
[1학년 1학기] 인문과학, 사회과학, 경영, 호텔관광, 자연과학, 생명과학, 예체능, 법학 계열 학과
[1학년 2학기] 전자정보, 소프트웨어융합, 공과 계열 학과"
17,대학생활과진로설계,모든 학과는 1학년 1학기에 이수해야 합니다.
17,취업역량개발론,모든 학과(국방시스템공학과·항공시스템공학과 제외)는 3~4학년(건축학전공은 4~5학년)안에 이수해야 합니다.
17,중핵필수선택,"학교에서 지정한 과목과 학생이 자율적으로 과목, 학년과 학기를 선택하여 이수할 수 있는 과목을 포함하여 반드시 3개 영역 이상 이수해야 합니다. 만일, 본인 학과의 해당 과목이 아닌 다른 과목을 이수할 경우 일반교양영역으로 인정됩니다. 호텔외식관광프랜차이즈경영학과, 글로벌조리학과는 중핵필수선택을 이수하지 않아도 됩니다. "
17,세계사:인간과문명,"해당 과목은 사상과 역사 영역이며, 안내에 따른 학기 중에 반드시 이수해야 합니다.
2학년 中 : 자연과학, 생명과학, 전자정보, 소프트웨어융합, 공과 계열 학과
[2학년 2학기] 인문과학, 사회과학, 경영, 호텔관광, 법학 계열 학과"
17,한국현대사의 이해,"해당 과목은 사상과 역사 영역이며, 안내에 따른 학기 중에 반드시 이수해야 합니다.
2학년 中 : 인문과학, 사회과학, 경영, 호텔관광, 예체능, 법학 계열 학과"
17,컴퓨팅 사고기반 기초코딩,인문계열 및 예체능계열 학생은 ‘소프트웨어기초코딩’의 대체과목으로 ‘컴퓨팅사고기반기초코딩’ 과목을 지정합니다.
17,소프트웨어 기초코딩,"해당 과목은 자연과 과학기술 영역이며, 안내에 따른 학기 중에 반드시 이수해야 합니다.
[1학년 1학기] 인문과학, 사회과학, 경영, 호텔관광, 자연과학, 생명과학, 공과, 예체능, 법학 계열 학과, 디자인이노베이션전공, 만화애니메이션텍전공"
17,프로그래밍입문-P,"해당 과목은 자연과 과학기술 영역이며, 안내에 따른 학기 중에 반드시 이수해야 합니다.
[1학년 2학기] 인문과학, 사회과학, 경영, 호텔관광, 디자인이노베이션전공, 만화애니메이션텍전공"
17,고급프로그래밍입문-P,"해당 과목은 자연과 과학기술 영역이며, 안내에 따른 학기 중에 반드시 이수해야 합니다. 그러나 예비대학프로그램으로 프로그래밍과목을 수강한 학생은 지정된 과목을 수강한 것으로 인정합니다. (고급프로그래밍이해-P ＝ 고급프로그래밍입문-P / 고급프로그래밍이해-C ＝ 고급프로그래밍입문-C)
[1학년 1학기] 컴퓨터공학과, 소프트웨어학과, 데이터사이언스학과, 무인이동체학과, 스마트기기학과
[1학년 2학기] 수학통계학과, 식품생명공학과, 바이오융합학과, 바이오산업지원학과, 정보보호학과, 건축공학과, 건축학과, 환경에너지공간융합학과, 항공시스템공학과"
17,고급프로그래밍입문-C,"해당 과목은 자연과 과학기술 영역이며, 안내에 따른 학기 중에 반드시 이수해야 합니다. 그러나 예비대학프로그램으로 프로그래밍과목을 수강한 학생은 지정된 과목을 수강한 것으로 인정합니다. (고급프로그래밍이해-P ＝ 고급프로그래밍입문-P / 고급프로그래밍이해-C ＝ 고급프로그래밍입문-C)
[1학년 1학기] 전자정보통신학과
[1학년 2학기] 물리천문학과, 화학과, 건설환경공학과, 에너지자원공학과, 기계공학과, 항공우주학과, 나노신소재학과, 원자력학과, 국방시스템학과"
17,정보사회의 사이버윤리,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다.
[1학년 1학기] 건설환경공학과
[2학년 1학기] 정보보호학과"
17,세계경제의 이해,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다.
[2학년 2학기] 건설환경공학과"
17,지구환경과학입문,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다.
[2학년 2학기] 건설환경공학과"
17,Technical Writing 기초,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다.
[3학년 1학기] 정보보호학과, 소프트웨어학과, 데이터사이언스학과
[3학년 2학기] 컴퓨터공학과"
17,학점이수,"단과대학마다 이수해야 하는 중핵필수선택 학점이 다르며, 아래 내용과 같습니다.
18학점 이상 : 인문과학대학, 사회과학대학, 경영대학, 호텔관광대학, 법학부
15학점 이상 : 자연과학대학, 생명과학대학, 전자정보공학대학, 소프트웨어융합대학, 공과대학, 예체능대학"
17,전산개론-I,전공기초교양과목에서 지정해제되었습니다.
17,전산개론-O,전공기초교양과목에서 지정해제되었습니다.
17,전산개론-M,전공기초교양과목에서 지정해제되었습니다.
17,경영수학,"전공기초교양과목에서 지정해제되며, 경영학과의 전공필수로 변경됩니다."
17,경영통계학,"전공기초교양과목에서 지정해제되며, 경영학과의 전공필수로 변경됩니다."
17,기초미적분학(미적분학및연습1),"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다.
[1학년 1학기] 식품생명공학전공, 바이오융합공학, 바이오산업자원공학, 컴퓨터공학과, 소프트웨어학과, 정보보호학과, 환경에너지공간융합학과, 국방시스템공학과, 항공시스템공학과"
17,일변수미적분학(미적분학및연습2),"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다.
[1학년 1학기] 수학통계학과, 물리천문학과, 화학과, 전자정보통신공학과, 데이터사이언스학과, 무인이동체학과, 스마트기기학과, 건축공학과, 건축학과, 건설환경공학과, 에너지자원공학과, 기계공학과, 항공우주공학과, 나노신소재공학과, 원자력공학과
[1학년 2학기] 국방시스템학과, 항공시스템"
17,다변수미적분학,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다.
[1학년 2학기] 수학통계학과, 물리천문학과, 화학과, 건축공학과, 건축학과, 건설환경공학과, 에너지자원공학과, 기계공학과, 항공우주공학과, 나노신소재공학과, 원자력공학과"
17,공업수학1,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다.
[1학년 2학기] 전자정보통신공학과, 컴퓨터공학과, 소프트웨어학과, 데이터사이언스학과, 무인이동체학과, 스마트기기학과
[2학년 1학기] 건축공학과, 건설환경공학과, 환경에너지공간융합학과, 에너지자원공학과, 기계공학과, 항공우주공학과, 나노신소재공학과, 원자력공학과, 국방시스템공학과, 항공시스템공학과"
17,공업수학2,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다.
[2학년 1학기] 전자정보통신학과
[2학년 2학기] 건축공학과, 건설환경공학과, 환경에너지공간융합학과, 에너지자원공학과, 기계공학과, 항공우주공학과, 나노신소재공학과, 원자력공학과, 국방시스템공학과, 항공시스템공학과"
17,일반물리학및실험1,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다. A가 붙은 학과는 1학기 1학기에 일반물리학및실험1, 일반생물학 중 1과목을 이수해야 합니다.
[1학년 1학기] 화학과(A), 전자정보통신학과, 컴퓨터공학과, 정보보호학과, 데이터사이언스학과, 무인이동체학과, 스마트기기학과, 건설환경공학과, 환경에너지공간융합학과, 에너지자원공학과, 기계공학과, 항공우주공학과, 나노신소재공학과, 원자력공학과, 국방시스템공학과, 항공시스템공학과
[2학년 1학기] 건축공학과"
17,일반물리학및실험2,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다. B가 붙은 학과는 1학기 2학기에 일반물리학및실험2, 일반생물학, 통계학개론 중 1과목을 이수해야 합니다.
[1학년 2학기] 화학과(B), 전자정보통신학과, 건설환경공학과, 에너지자원공학과, 기계공학과, 항공우주공학과, 나노신소재공학과, 원자력공학과, 국방시스템공학과, 항공시스템공학과
[2학년 2학기] 건축공학과"
17,일반화학및실험1,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다.
[1학년 1학기] 식품생명공학전공, 바이오융합공학, 바이오산업자원공학, 화학과, 나노신소재학과
[2학년 1학기] 환경에너지공간융합학과"
17,일반화학및실험2,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다.
[1학년 2학기] 식품생명공학전공, 바이오융합공학, 바이오산업자원공학, 화학과, 나노신소재학과
[2학년 2학기] 환경에너지공간융합학과"
17,기초생물통계학,"전공기초교양에서 지정해제되며, 식품생명공학, 바이오융합공학, 바이오산업자원공학의 전공선택으로 변경됩니다."
17,생명시스템공학입문,"전공기초교양에서 지정해제되며, 식품생명공학, 바이오융합공학, 바이오산업자원공학의 전공선택으로 변경됩니다."
17,일반생물학,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다. A가 붙은 학과는 1학기 1학기에 통계학개론, 일반생물학 중 1과목을, B가 붙은 학과는 1학기 2학기에 일반물리학및실험2, 일반생물학, 통계학개론 중 1과목을 이수해야 합니다.
[1학년 2학기] 화학과(A)(B), 정보보호학과, 환경에너지공간융합학과"
17,일반화학,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다.
[1학년 1학기] 전자정보통신학과, 에너지자원학과
[2학년 1학기] 건설환경공학과, 기계공학과, 항공우주공학과"
17,통계학개론,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 합니다. B가 붙은 학과는 1학기 2학기에 일반물리학및실험2, 일반생물학, 통계학개론 중 1과목을 이수해야 합니다.
[1학년 2학기] 화학과(B), 환경에너지공간융합학과
[2학년 2학기] 소프트웨어학과
[3학년 1학기] 건축공학과"
