intent,query,answer
2023학년도 입학자 졸업기준(교양),공통필수,"신입생세미나A·B, 창업가기업가정신1, 문제해결을위한글쓰기와발표, 서양철학:쟁점과토론, 우주자연인간, 취창업과진로설계, 대학영어 "
2023학년도 입학자 졸업기준(교양),균형교양,자신의 소속계열과 다른 2개 영역에서 6학점 선택 이수
2023학년도 입학자 졸업기준(교양),학문기초교양,단과대학 또는 학과에 따라 지정된 과목 선택 이수
2023학년도 입학자 졸업기준(전공),단일전공 이수시,학과 또는 전공에 따라 차이가 있다.
2023학년도 입학자 졸업기준(전공),복수전공 이수시(연계·융합 전공포함),전필 : 15 학점 / 전선 : 24 학점 / 합계 : 39 학점(주전공·복수전공 각각이수)
2023학년도 입학자 졸업기준(졸업),졸업이수학점,"건축학과(5년제)는 168점이며, 그 외의 학과는 130학점"
2023학년도 입학자 교양 공통필수,신입생세미나A,모든 학과는 1학년 1학기에 이수
2023학년도 입학자 교양 공통필수,신입생세미나B,모든 학과는 1학년 2학기에이수
2023학년도 입학자 교양 공통필수,문제해결을 위한 글쓰기와 발표,"해당 과목은 안내에 따른 학기 중에 이수해야 한다.
1학년 1학기 : 전자정보, 소프트웨어융합, 공과 계열 학과
1학년 2학기 : 인문과학, 사회과학, 경영경제, 호텔관광, 자연과학, 생명과학, 예체능, 법학 계열 학과"
2023학년도 입학자 교양 공통필수,서양철학:쟁점과토론,"해당 과목은 안내에 따른 학기 중에 이수해야 한다.
1학년 1학기 : 인문과학, 사회과학, 경영경제, 호텔관광, 자연과학, 생명과학, 예체능, 법학 계열 학과
1학년 2학기 : 전자정보, 소프트웨어융합, 공과 계열 학과"
2023학년도 입학자 교양 공통필수,우주자연인간,"해당 과목은 안내에 따른 학기 중에 이수해야 한다.
1학년 1학기 : 전자정보, 소프트웨어융합(정보보호학과 제외), 공과(환경에너지공간융합학과 제외) 계열 학과
1학년 2학기 : 인문과학, 사회과학, 경영경제, 호텔관광, 자연과학, 생명과학, 예체능, 법학 계열 학과, 정보보호학과, 환경에너지공간융합학과"
2023학년도 입학자 교양 공통필수,대학영어,"해당 과목은 안내에 따른 학기 중에 이수해야 한다.
1학년 1학기 : 인문과학, 사회과학, 경영경제, 호텔관광, 자연과학, 생명과학, 예체능, 법학 계열 학과
1학년 2학기 : 전자정보, 소프트웨어융합, 공과 계열 학과"
2023학년도 입학자 교양 공통필수,창업과기업가정신1,모든 학과는 1~4학년(건축학전공은 1~5학년)안에 이수
2023학년도 입학자 교양 공통필수,취창업과진로설계,모든 학과(국방시스템공학과·항공시스템공학과 제외)는 3~4학년(건축학전공은 4~5학년)안에 이수
2023학년도 입학자 계열별필수 균형교양,역사와 사상,"2 ~ 4학년 안에 인문과학 계열 학과를 제외하고 동서양의사상과윤리(3), 성서와기독교(3), 세계사(3), 한국현대사(3) 중 택하여 이수해야 한다."
2023학년도 입학자 계열별필수 균형교양,자연과 과학,"2~4학년 안에 자연과학·생명과학·전자정보공학·소프트웨어융합(디자인이노베이션전공·만화애니메이션텍전공을 제외)·공과 계열 학과를 제외하고 생명과학의이해(3), 수의세계(3), 지구환경과기후변화(3), 현대과학으로의초대(3) 중 택하여 이수해야 한다."
2023학년도 입학자 계열별필수 균형교양,경제와 사회,"2~4학년 안에 사회과학·경영경제·호텔관광 계열 학과를 제외하고 경영학(3), 경제학(3), 미디어빅뱅과방송(3), 현대사회와법(3) 중 택하여 이수해야 한다."
2023학년도 입학자 계열별필수 균형교양,문화와 예술,"2~4학년 안에 예체능 계열 학과, 디자인이노베이션전공, 만화애니메이션텍전공을 제외하고 융합예술의이해(3), 컴퓨터게임과메타버스(3), 한국의문화와한류(3), 현대예술의이해(3) 중 택하여 이수해야 한다."
2023학년도 입학자  계열별필수 학문기초교양,컴퓨터사고기반 기초코딩,"해당 과목은 안내에 따른 학기 중에 이수해야 한다.
1학년 1학기 : 인문과학, 사회과학, 경영경제, 호텔관광, 예체능, 법학 계열 학과 및 디자인이노베이션, 만화에니메이션택"
2023학년도 입학자  계열별필수 학문기초교양,SW기초코딩,"해당 과목은 안내에 따른 학기 중에 이수해야 한다.
1학년 1학기 : 자연과학, 생명과학, 공학 계열 학과"
2023학년도 입학자  계열별필수 학문기초교양,프로그래밍활용 - P,"해당 과목은 안내에 따른 학기 중에 이수해야 한다.
1학년 2학기 : 행정학과, 경영학과, 호텔관광경영학과, 외식경영학과"
